343

0 : 0
(14.0222,46.4064)
(22.677,68.2076)
(93.5346,52.4222)
(4.42264,53.4403)
(1.76212,7.61738)
(68.9905,93.1132)
(53.1659,65.738)
(70.4179,76.4576)
(5.69899,33.4952)

0 : 1
(75.8846,37.1685)
(98.2725,75.5822)
(8.1959,88.586)
(44.2047,48.2954)
(28.2158,17.4842)
(89.868,6.99587)
(50.9478,32.5843)
(49.9037,9.98256)
(8.30116,39.0301)

0 : 2
(91.4679,46.9801)
(5.95831,77.2503)
(13.4112,69.1571)
(63.3248,72.8158)
(88.9686,31.3259)
(51.8141,84.7522)
(84.3096,42.1241)
(47.3238,18.6544)
(57.5938,4.27232)

1 : 0
(50.3495,75.081)
(89.183,84.3619)
(22.0624,13.9123)
(28.1842,42.015)
(71.2721,24.7512)
(32.4364,65.5538)
(68.4533,39.3848)
(15.6058,84.712)
(95.5855,15.667)

1 : 1
(41.4679,56.925)
(49.3629,96.1484)
(20.776,63.2976)
(65.4741,80.5042)
(48.1667,21.1218)
(90.2657,15.0601)
(41.621,88.6792)
(17.0577,37.1686)
(14.3758,46.0754)

1 : 2
(45.7777,93.2358)
(22.3096,90.9833)
(86.2251,51.0896)
(81.9386,46.7623)
(63.6411,82.645)
(70.5185,95.4871)
(29.6423,51.929)
(41.9888,87.78)
(73.245,71.8486)

2 : 0
(70.947,2.89015)
(52.9738,7.45419)
(49.4054,68.5229)
(91.7468,89.1118)
(14.7803,98.9469)
(45.1563,51.9513)
(44.5328,80.8583)
(21.9404,16.2068)
(62.0187,1.08702)

2 : 1
(73.0062,42.3546)
(68.3756,83.8056)
(83.0421,9.09202)
(63.3276,22.1411)
(39.4935,94.807)
(27.6523,29.1195)
(78.6027,28.9334)
(2.12031,98.3403)
(82.1529,40.4162)

2 : 2
(18.5112,16.6154)
(26.4597,11.0621)
(63.837,79.6822)
(75.5411,63.7096)
(60.2234,32.559)
(12.6263,53.0862)
(59.2109,70.596)
(17.0071,86.1623)
(56.1267,32.2847)

3 : 0
(53.3263,59.2238)
(43.6539,37.6524)
(45.2397,39.3953)
(8.74806,26.1383)
(67.9475,73.1322)
(94.5305,94.0761)
(46.583,66.4742)
(60.9583,15.889)
(35.0379,52.758)

3 : 1
(2.48011,64.6549)
(91.8669,97.0386)
(84.5536,46.1194)
(3.18629,70.988)
(44.2272,75.4193)
(69.8722,75.6324)
(1.42114,8.91177)
(90.4268,74.9212)
(1.62783,52.3294)

3 : 2
(54.8582,22.3668)
(63.0593,71.2227)
(28.7486,37.8191)
(31.7067,11.2759)
(77.8122,6.4726)
(16.8671,30.4052)
(48.3026,52.4789)
(15.8808,83.5345)
(58.1998,33.7863)

4 : 0
(98.7014,1.16408)
(3.90619,49.4755)
(74.1569,54.0904)
(13.1282,19.6393)
(61.7984,13.4673)
(95.4488,83.9721)
(26.6424,43.0093)
(89.8935,76.3011)
(45.7333,66.8848)

4 : 1
(21.7467,55.1505)
(18.4215,43.7589)
(69.054,83.7844)
(97.3613,8.95496)
(77.1743,25.7654)
(77.1423,75.1759)
(68.4849,4.60039)
(22.9451,65.6096)
(37.7751,24.1355)

4 : 2
(17.4268,16.816)
(66.5374,94.9666)
(62.4835,2.77651)
(72.4653,6.31574)
(52.3983,7.47027)
(97.7408,33.5766)
(74.5841,17.9666)
(94.0328,26.2408)
(13.261,16.8482)

5 : 0
(11.4133,37.4877)
(33.3955,58.1008)
(76.0663,70.2793)
(93.5889,36.8463)
(46.0522,24.8036)
(42.7363,29.6869)
(22.4222,53.2165)
(86.5006,71.4449)
(38.8993,46.5165)

5 : 1
(79.7399,1.31965)
(66.8042,19.4956)
(14.2699,94.6584)
(60.9941,35.4017)
(51.4562,83.5995)
(33.614,63.5446)
(5.10062,76.9394)
(52.411,22.831)
(9.81027,70.9397)

5 : 2
(26.9161,38.4583)
(24.0282,47.4804)
(97.7466,4.39007)
